brand,model,repair,price_eur,source_url
Apple,Apple Iphone 11,Akku,70,https://www.phone-experts.at/phones/Apple-iPhone-11
Apple,Apple Iphone 11,Diagnose,30,https://www.phone-experts.at/phones/Apple-iPhone-11
Apple,Apple Iphone 11,Frontkamera,80,https://www.phone-experts.at/phones/Apple-iPhone-11
Apple,Apple Iphone 11,Hauptkamera,110,https://www.phone-experts.at/phones/Apple-iPhone-11
Apple,Apple Iphone 11,Kameraglas,60,https://www.phone-experts.at/phones/Apple-iPhone-11
Apple,Apple Iphone 11,Klingeltonlautsprecher,80,https://www.phone-experts.at/phones/Apple-iPhone-11
Apple,Apple Iphone 11,Ladestecker,80,https://www.phone-experts.at/phones/Apple-iPhone-11
Apple,Apple Iphone 11,Laut/Leise Taste,80,https://www.phone-experts.at/phones/Apple-iPhone-11
Apple,Apple Iphone 11,LCD,150,https://www.phone-experts.at/phones/Apple-iPhone-11
Apple,Apple Iphone 11,Ohrlautsprecher,70,https://www.phone-experts.at/phones/Apple-iPhone-11
Apple,Apple Iphone 11,Rückgehäuse,130,https://www.phone-experts.at/phones/Apple-iPhone-11
Apple,Apple Iphone 11,Software Fehler,30,https://www.phone-experts.at/phones/Apple-iPhone-11
Apple,Apple Iphone 11,Stumm Schalter,80,https://www.phone-experts.at/phones/Apple-iPhone-11
Apple,Apple Iphone 11,Wasserschaden,50,https://www.phone-experts.at/phones/Apple-iPhone-11
Apple,Apple iPhone 11 Pro,Akku,80,https://www.phone-experts.at/phones/apple-iphone-11-pro
Apple,Apple iPhone 11 Pro,Diagnose,30,https://www.phone-experts.at/phones/apple-iphone-11-pro
Apple,Apple iPhone 11 Pro,Ein Ausschaltknopf/Blitz,90,https://www.phone-experts.at/phones/apple-iphone-11-pro
Apple,Apple iPhone 11 Pro,Hauptkamera,120,https://www.phone-experts.at/phones/apple-iphone-11-pro
Apple,Apple iPhone 11 Pro,Kameraglas,60,https://www.phone-experts.at/phones/apple-iphone-11-pro
Apple,Apple iPhone 11 Pro,Klingeltonlautsprecher,80,https://www.phone-experts.at/phones/apple-iphone-11-pro
Apple,Apple iPhone 11 Pro,Ladestecker,90,https://www.phone-experts.at/phones/apple-iphone-11-pro
Apple,Apple iPhone 11 Pro,Laut/Leise Taste,90,https://www.phone-experts.at/phones/apple-iphone-11-pro
Apple,Apple iPhone 11 Pro,Mikrofon,90,https://www.phone-experts.at/phones/apple-iphone-11-pro
Apple,Apple iPhone 11 Pro,Original / Pulled LCD,160,https://www.phone-experts.at/phones/apple-iphone-11-pro
Apple,Apple iPhone 11 Pro,Premium LCD,120,https://www.phone-experts.at/phones/apple-iphone-11-pro
Apple,Apple iPhone 11 Pro,Software Fehler,40,https://www.phone-experts.at/phones/apple-iphone-11-pro
Apple,Apple iPhone 11 Pro,Wasserschaden,50,https://www.phone-experts.at/phones/apple-iphone-11-pro
Apple,Apple iPhone 11 Pro Max,Akku,80,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Diagnose,30,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Ein Ausschaltknopf/Blitz,90,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Frontkamera,90,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Hauptkamera,130,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Hauptkamera,160,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Kameraglas,60,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Klingeltonlautsprecher,90,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Ladestecker,90,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Laut/Leise Taste,90,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Mikrofon,90,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Ohrlautsprecher,80,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Original / Pulled LCD,180,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Premium LCD,140,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Rückgehäuse,150,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Stumm Schalter,90,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 11 Pro Max,Wasserschaden,50,https://www.phone-experts.at/phones/apple-iphone-11-pro-max
Apple,Apple iPhone 12,Akku,120,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Diagnose,30,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Ein Ausschaltknopf/Blitz,100,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Frontkamera,120,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Hauptkamera,140,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Kameraglas,70,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Klingeltonlautsprecher,120,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Ladestecker,120,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Laut/Leise Taste,100,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Mikrofon,120,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Ohrlautsprecher,80,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Original / Pulled LCD,220,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Premium LCD,170,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Rückgehäuse,140,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Software Fehler,40,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Stumm Schalter,100,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12,Wasserschaden,50,https://www.phone-experts.at/phones/apple-iphone-12
Apple,Apple iPhone 12 Mini,Akku,110,https://www.phone-experts.at/phones/apple-iphone-12-mini
Apple,Apple iPhone 12 Mini,Diagnose,30,https://www.phone-experts.at/phones/apple-iphone-12-mini
Apple,Apple iPhone 12 Mini,Ein Ausschaltknopf/Blitz,100,https://www.phone-experts.at/phones/apple-iphone-12-mini
Apple,Apple iPhone 12 Mini,Frontkamera,110,https://www.phone-experts.at/phones/apple-iphone-12-mini
Apple,Apple iPhone 12 Mini,Hauptkamera,130,https://www.phone-experts.at/phones/apple-iphone-12-mini
Apple,Apple iPhone 12 Mini,Kameraglas,60,https://www.phone-experts.at/phones/apple-iphone-12-mini
Apple,Apple iPhone 12 Mini,Klingeltonlautsprecher,100,https://www.phone-experts.at/phones/apple-iphone-12-mini
Apple,Apple iPhone 12 Mini,Ladestecker,110,https://www.phone-experts.at/phones/apple-iphone-12-mini
Apple,Apple iPhone 12 Mini,Laut/Leise Taste,100,https://www.phone-experts.at/phones/apple-iphone-12-mini
Apple,Apple iPhone 12 Mini,Mikrofon,110,https://www.phone-experts.at/phones/apple-iphone-12-mini
Apple,Apple iPhone 12 Mini,Ohrlautsprecher,80,https://www.phone-experts.at/phones/apple-iphone-12-mini
Apple,Apple iPhone 12 Mini,Original / Pulled LCD,220,https://www.phone-experts.at/phones/apple-iphone-12-mini
Apple,Apple iPhone 12 Mini,Rückgehäuse,130,https://www.phone-experts.at/phones/apple-iphone-12-mini
Apple,Apple iPhone 12 Mini,Software Fehler,40,https://www.phone-experts.at/phones/apple-iphone-12-mini
Apple,Apple iPhone 12 Mini,Stumm Schalter,100,https://www.phone-experts.at/phones/apple-iphone-12-mini
